Event,Days,Site,Reef,Array,Subs,Tag,Position,Sed 1,Sed 2,Sed 3,Sed 4,Sed 5,Sed 6
3 Month,90,JA4,Inner Reef,H24,High,824,4,1,0,0,0,0,0
3 Month,90,JA4,Inner Reef,H24,Low,1,2,2,0,2,3,0,1
3 Month,90,JA4,Inner Reef,H24,Low,1,4,1,1,2,1,0,2
3 Month,90,JA4,Inner Reef,H24,Low,20,2,2,1,0,3,1,0
3 Month,90,JA4,Inner Reef,H24,Low,20,4,3,3,3,2,3,1
3 Month,90,JA4,Inner Reef,H24,High,1098,2,1,1,2,1,1,2
3 Month,90,JA4,Inner Reef,H24,High,1098,4,0,1,1,3,2,1
3 Month,90,JA4,Inner Reef,H24,Low,47,2,0,0,0,0,0,0
3 Month,90,JA4,Inner Reef,H24,Low,47,4,0,0,1,2,2,2
3 Month,90,JA4,Inner Reef,H24,High,842,2,1,1,0,0,0,0
3 Month,90,JA4,Inner Reef,H24,High,842,4,1,1,1,0,0,0
3 Month,90,JA6,Nearshore,X17,Low,419,2,5,4,0,3,4,1
3 Month,90,JA6,Nearshore,X17,Low,419,4,3,5,3,1,4,2
3 Month,90,JA6,Nearshore,X17,High,355,2,1,1,0,0,0,0
3 Month,90,JA6,Nearshore,X17,High,355,4,1,4,4,3,4,0
3 Month,90,JA6,Nearshore,X17,High,441,2,0,0,0,0,0,0
3 Month,90,JA6,Nearshore,X17,High,441,4,2,1,0,0,0,0
3 Month,90,JA6,Nearshore,X17,High,910,2,3,3,2,2,1,0
3 Month,90,JA6,Nearshore,X17,High,910,4,1,1,2,0,0,0
3 Month,90,JA6,Nearshore,X17,Low,427,2,2,1,3,1,2,1
3 Month,90,JA6,Nearshore,X17,Low,427,4,3,4,3,2,2,2
3 Month,90,JA6,Nearshore,X17,High,409,2,0,0,0,0,0,0
3 Month,90,JA6,Nearshore,X17,High,409,4,2,2,1,1,1,0
3 Month,90,JA6,Nearshore,X17,Low,924,2,4,3,3,4,3,4
3 Month,90,JA6,Nearshore,X17,Low,924,4,1,1,1,2,1,3
3 Month,90,JA6,Nearshore,X17,High,931,2,1,1,0,0,0,0
